#{"t_start": 1736249810.1212168, "env_id": "None"}
r,l,t
-1557.239032,200,46.409424
-34.35973,200,46.459644
-1817.447511,200,46.510921
-307.861919,200,46.54268
-0.987226,200,46.592557
-577.607421,200,46.64276
-1460.139075,200,46.69251
-50.374087,200,47.62597
-595.790626,200,47.676338
-647.568716,200,47.726324
-1870.789579,200,47.79592
-1504.377138,200,47.842953
-2.449694,200,47.909428
-15.696792,200,47.959179
-33.222336,200,48.021752
-24.790839,200,48.076195
-388.163657,200,48.125998
-17.348341,200,49.157298
-451.824113,200,49.213005
-5.706728,200,49.262273
-984.797206,200,49.327077
-11.891375,200,49.395365
-52.595528,200,49.449375
-1379.698551,200,49.500561
-1292.563648,200,49.543174
-1.547295,200,49.59267
-1584.669588,200,49.6426
-1.283124,200,50.592176
-20.782113,200,50.645157
-373.887155,200,50.692383
-63.772121,200,50.745189
-1720.677344,200,50.792594
-1472.685284,200,50.842716
-31.97657,200,50.909197
-0.238331,200,50.96204
-57.552758,200,51.008941
-1554.316453,200,51.061571
-1616.555456,200,51.109237
-674.788062,200,52.195935
-546.545398,200,52.250084
-11.69296,200,52.292617
-1775.492083,200,52.345129
-5.007895,200,52.409375
-1700.605858,200,52.465108
-18.055562,200,52.516467
-518.869422,200,52.567498
-1587.256806,200,52.619041
-457.15068,200,52.672231
-1696.487239,200,53.609246
-1830.082213,200,53.65906
-333.414104,200,53.719699
-6.549173,200,53.76155
-1.707043,200,53.80915
-7.553996,200,53.85953
-5.258694,200,53.909044
-17.834147,200,53.95913
-0.8198,200,54.009135
-1108.257931,200,54.067751
-68.551759,200,54.992223
-868.712773,200,55.042351
-183.54565,200,55.092392
-1467.212883,200,55.142212
-72.728303,200,55.192405
-8.402632,200,55.242349
-9.256126,200,55.30351
-1717.375194,200,55.342127
-25.087654,200,55.392302
-1906.774619,200,55.442268
-1088.126467,200,56.368084
-1.693289,200,56.421951
-43.936902,200,56.474236
-1365.73273,200,56.529242
-16.186964,200,56.629358
-1658.646514,200,56.694424
-1374.766654,200,56.743605
-1625.232909,200,56.794779
-916.697773,200,56.844609
-1360.001583,200,56.909477
-1868.52629,200,56.964347
-115.976239,200,58.038274
-953.918609,200,58.093329
-109.001739,200,58.148369
-1805.359456,200,58.201406
-2.113019,200,58.257471
-38.144561,200,58.314509
-64.746039,200,58.363307
-1523.834213,200,58.415239
-5.40787,200,58.466892
-1.188986,200,58.515908
-361.912028,200,59.44422
-1501.891167,200,59.497185
-258.446645,200,59.54414
-77.31878,200,59.60901
-1564.14626,200,59.65859
-62.996949,200,59.709297
-197.749521,200,59.760772
-651.038733,200,59.808931
-581.243906,200,59.875884
-501.863847,200,59.935724
-104.552873,200,60.908371
-48.133494,200,60.974576
-1809.061806,200,61.029525
-1330.630213,200,61.076096
-453.017664,200,61.140508
-2.050497,200,61.192157
-1449.460514,200,61.241915
-1894.140663,200,61.29264
-2.36398,200,61.344655
-476.737705,200,61.409113
-1464.8596,200,62.594872
-1477.849561,200,62.642733
-1626.265432,200,62.692201
-47.105926,200,62.748031
-1521.620182,200,62.796281
-1357.324593,200,62.86182
-1002.554956,200,62.908746
-1831.424815,200,62.975132
-13.120604,200,63.02998
-1.183211,200,63.101181
-1368.505867,200,63.235547
-44.425811,200,64.474504
-1258.586936,200,64.536262
-23.999867,200,64.577336
-0.947281,200,64.641308
-3.628943,200,64.692178
-1804.70937,200,64.74329
-1088.987088,200,64.793852
-1639.946477,200,64.850628
-2.432383,200,64.894772
-22.489322,200,64.952527
-1741.243135,200,65.991868
-1821.194516,200,66.041704
-188.700342,200,66.091722
-140.110128,200,66.141713
-44.975595,200,66.209114
-1700.39301,200,66.258956
-264.571466,200,66.309587
-1349.75197,200,66.359937
-17.616214,200,66.409438
-122.881217,200,66.458495
-47.015287,200,67.459973
-182.903409,200,67.526596
-1171.378437,200,67.576467
-234.648928,200,67.62622
-921.4767,200,67.692103
-1017.470287,200,67.741743
-137.896281,200,67.791769
-2.473621,200,67.84171
-1418.552559,200,67.892903
-1296.554146,200,67.942774
-1681.753333,200,68.976043
-1889.652344,200,69.044838
-1002.42731,200,69.091821
-1660.353842,200,69.141762
-1875.154608,200,69.191857
-3.920623,200,69.242673
-1822.231472,200,69.347272
-627.045367,200,69.391601
-1584.372314,200,69.458178
-534.8132,200,69.508484
-22.185895,200,69.558093
-464.367999,200,70.508478
-91.554576,200,70.557956
-17.892575,200,70.60811
-57.1387,200,70.658273
-41.796615,200,70.70939
-1777.14123,200,70.758558
-11.4137,200,70.808276
-1.609536,200,70.858943
-681.86392,200,70.908362
-1010.437049,200,70.958227
-828.394749,200,71.976633
-277.92496,200,72.0422
-875.013546,200,72.108113
-14.756229,200,72.162477
-19.210348,200,72.217132
-826.022423,200,72.258043
-7.315322,200,72.308692
-979.555209,200,72.374735
-0.840351,200,72.424957
-3.723633,200,72.480142
-15.320346,200,73.525849
-16.510469,200,73.575789
-408.399422,200,73.641707
-0.901189,200,73.691812
-961.663058,200,73.7426
-113.754525,200,73.793822
-1547.441737,200,73.841406
-1553.66735,200,73.909437
-1698.457528,200,73.959039
-18.338308,200,74.009076
-40.996537,200,74.975925
-20.558502,200,75.03398
-32.630704,200,75.075397
-5.652778,200,75.141301
-106.049001,200,75.19133
-1510.860441,200,75.243747
-19.437616,200,75.291796
-2.205355,200,75.344036
-1.102611,200,75.399355
-640.3001,200,75.444291
-5.348216,200,75.491276
-1898.771516,200,76.558443
-2.118205,200,76.607985
-3.06606,200,76.674201
-18.010211,200,76.724874
-238.773814,200,76.775495
-10.049355,200,76.824426
-16.938055,200,76.874395
-1539.545246,200,76.924584
-4.842272,200,76.974621
-21.307903,200,77.024614
-77.608901,200,78.029702
-0.087666,200,78.075107
-27.784145,200,78.157829
-18.741686,200,78.21114
-923.593301,200,78.259014
